Date,Open,High,Low,Close,Adj Close,Volume
2024-03-01,39254.69140625,39990.23046875,39224.640625,39910.8203125,39910.8203125,122800000
2024-03-04,40201.76171875,40314.640625,40001.55078125,40109.23046875,40109.23046875,119400000
2024-03-05,39881.73046875,40226.98828125,39840.33984375,40097.62890625,40097.62890625,115200000
2024-03-06,39792.37109375,40147.76953125,39769.0390625,40090.78125,40090.78125,112900000
2024-03-07,40331.05859375,40472.109375,39518.3984375,39598.7109375,39598.7109375,137200000
2024-03-08,39809.55859375,39989.328125,39551.6015625,39688.94140625,39688.94140625,143300000
2024-03-11,39232.140625,39241.28125,38496.66015625,38820.48828125,38820.48828125,132900000
2024-03-12,38470.390625,38841.80078125,38271.37890625,38797.51171875,38797.51171875,112900000
2024-03-13,39059.94921875,39147.80078125,38452.5703125,38695.96875,38695.96875,105400000
2024-03-14,38591.73046875,38840.328125,38400.171875,38807.37890625,38807.37890625,111100000
2024-03-15,38548.16015625,38808.6796875,38519.94140625,38707.640625,38707.640625,167100000
2024-03-18,38960.98828125,39769.109375,38935.46875,39740.44140625,39740.44140625,128700000
2024-03-19,39622.578125,40003.6015625,39407.5,40003.6015625,40003.6015625,134700000
2024-03-21,40511.55078125,40823.3203125,40452.19140625,40815.66015625,40815.66015625,157200000
2024-03-22,40942.87890625,41087.75,40714.140625,40888.4296875,40888.4296875,136100000
2024-03-25,40798.9609375,40837.1796875,40414.12109375,40414.12109375,40414.12109375,101500000
2024-03-26,40345.0390625,40529.53125,40280.8515625,40398.03125,40398.03125,101400000
2024-03-27,40517.171875,40979.359375,40452.2109375,40762.73046875,40762.73046875,121300000
2024-03-28,40324.421875,40482.01953125,40054.05859375,40168.0703125,40168.0703125,135600000
2024-03-29,40277.44921875,40521.7109375,40268.109375,40369.44140625,40369.44140625,122000000
2024-04-01,40646.69921875,40697.21875,39706.44921875,39803.08984375,39803.08984375,134500000
2024-04-02,39892.58984375,40151.05078125,39707.87109375,39838.91015625,39838.91015625,115800000
2024-04-03,39503.71875,39625.8984375,39217.0390625,39451.8515625,39451.8515625,123200000
2024-04-04,39928.328125,40243.01953125,39773.140625,39773.140625,39773.140625,145100000
2024-04-05,39237.390625,39274.76171875,38774.23828125,38992.078125,38992.078125,129600000
2024-04-08,39391.98046875,39617.359375,39197.0,39347.0390625,39347.0390625,108300000
2024-04-09,39496.94921875,39773.12890625,39476.12890625,39773.12890625,39773.12890625,105900000
2024-04-10,39582.328125,39708.69921875,39510.48046875,39581.80859375,39581.80859375,97400000
2024-04-11,39090.6796875,39473.48046875,39065.30859375,39442.62890625,39442.62890625,107000000
2024-04-12,39722.01953125,39774.8203125,39457.73046875,39523.55078125,39523.55078125,107100000
2024-04-15,39056.9296875,39232.80078125,38820.94921875,39232.80078125,39232.80078125,107000000
2024-04-16,38750.671875,38764.8203125,38322.3203125,38471.19921875,38471.19921875,133000000
2024-04-17,38587.46875,38587.609375,37961.80078125,37961.80078125,37961.80078125,120600000
2024-04-18,37745.0390625,38216.75,37644.91015625,38079.69921875,38079.69921875,105800000
2024-04-19,37724.46875,37749.48046875,36733.05859375,37068.3515625,37068.3515625,155400000
2024-04-22,37240.9296875,37511.80078125,37052.62890625,37438.609375,37438.609375,119400000
2024-04-23,37797.05859375,37817.78125,37397.26953125,37552.16015625,37552.16015625,95900000
2024-04-24,37871.921875,38460.078125,37857.46875,38460.078125,38460.078125,121100000
2024-04-25,38065.91015625,38129.53125,37604.23046875,37628.48046875,37628.48046875,113900000
2024-04-26,37725.609375,38097.5390625,37550.69921875,37934.76171875,37934.76171875,124900000
2024-04-30,38312.66015625,38608.171875,38182.109375,38405.66015625,38405.66015625,151400000
2024-05-01,38107.37890625,38433.33984375,38036.23828125,38274.05078125,38274.05078125,108500000
2024-05-02,38004.01171875,38355.6015625,37958.19140625,38236.0703125,38236.0703125,101900000
2024-05-07,38636.23046875,38863.140625,38541.96875,38835.1015625,38835.1015625,115200000
2024-05-08,38677.5703125,38749.3515625,38159.8515625,38202.37109375,38202.37109375,120100000
2024-05-09,38242.921875,38429.80859375,38072.23828125,38073.98046875,38073.98046875,118600000
2024-05-10,38361.7890625,38741.87890625,38126.91015625,38229.109375,38229.109375,167300000
2024-05-13,38211.609375,38273.3984375,37969.578125,38179.4609375,38179.4609375,128700000
2024-05-14,38287.98828125,38477.6796875,38084.7109375,38356.05859375,38356.05859375,143300000
2024-05-15,38533.08984375,38816.6015625,38335.609375,38385.73046875,38385.73046875,146300000
2024-05-16,38645.9609375,38949.37890625,38513.328125,38920.26171875,38920.26171875,157900000
2024-05-17,38561.0390625,38842.48828125,38539.55859375,38787.37890625,38787.37890625,133300000
2024-05-20,38761.7109375,39437.16015625,38703.69921875,39069.6796875,39069.6796875,127400000
2024-05-21,39232.16015625,39346.1484375,38942.28125,38946.9296875,38946.9296875,106700000
2024-05-22,38823.91015625,38854.98828125,38592.94140625,38617.1015625,38617.1015625,105500000
2024-05-23,38803.12890625,39129.46875,38617.4296875,39103.21875,39103.21875,107800000
2024-05-24,38506.03125,38740.8203125,38367.69921875,38646.109375,38646.109375,96300000
2024-05-27,38766.2109375,38900.01953125,38667.9296875,38900.01953125,38900.01953125,94200000
2024-05-28,38879.1484375,38981.96875,38756.12890625,38855.37109375,38855.37109375,101200000
2024-05-29,38880.5,39141.98828125,38524.23828125,38556.87109375,38556.87109375,123900000
2024-05-30,38112.76953125,38138.03125,37617.0,38054.12890625,38054.12890625,117300000
2024-05-31,38173.21875,38526.9296875,38087.609375,38487.8984375,38487.8984375,211000000
2024-06-03,38734.94921875,39032.5,38734.94921875,38923.03125,38923.03125,115900000
2024-06-04,38702.5390625,38895.05859375,38591.7890625,38837.4609375,38837.4609375,117900000
2024-06-05,38654.08984375,38656.41015625,38343.98046875,38490.171875,38490.171875,119400000
2024-06-06,38841.66015625,39011.9296875,38693.5,38703.51171875,38703.51171875,118900000
2024-06-07,38597.55078125,38747.26953125,38560.8515625,38683.9296875,38683.9296875,96200000
2024-06-10,38689.78125,39081.5390625,38689.78125,39038.16015625,39038.16015625,89200000
2024-06-11,39175.58984375,39336.66015625,39074.87890625,39134.7890625,39134.7890625,93300000
2024-06-12,38865.1484375,38945.98828125,38809.359375,38876.7109375,38876.7109375,108200000
2024-06-13,39182.05859375,39252.44140625,38689.7890625,38720.46875,38720.46875,115900000
2024-06-14,38587.5703125,39025.69921875,38554.75,38814.55859375,38814.55859375,157100000
2024-06-17,38440.98046875,38442.69921875,37950.19921875,38102.44140625,38102.44140625,107500000
2024-06-18,38433.48046875,38519.01953125,38332.890625,38482.109375,38482.109375,97100000
2024-06-19,38653.91015625,38797.96875,38453.41015625,38570.76171875,38570.76171875,93600000
2024-06-20,38410.3203125,38637.62109375,38263.078125,38633.01953125,38633.01953125,88000000
2024-06-21,38608.66015625,38795.6796875,38532.12890625,38596.46875,38596.46875,140800000
2024-06-24,38497.421875,38905.46875,38416.0703125,38804.6484375,38804.6484375,93500000
2024-06-25,38833.8984375,39215.0703125,38758.0703125,39173.1484375,39173.1484375,108300000
2024-06-26,39364.73046875,39788.62890625,39233.55859375,39667.0703125,39667.0703125,108900000
2024-06-27,39434.46875,39439.23828125,39193.51171875,39341.5390625,39341.5390625,115000000
2024-06-28,39593.01171875,39783.69921875,39485.73046875,39583.078125,39583.078125,124300000
2024-07-01,39839.8203125,39942.69140625,39537.1015625,39631.05859375,39631.05859375,118800000
2024-07-02,39543.609375,40113.48046875,39457.62109375,40074.69140625,40074.69140625,135100000
2024-07-03,40225.828125,40694.2109375,40172.8515625,40580.76171875,40580.76171875,125600000
2024-07-04,40747.58984375,40971.23046875,40604.1484375,40913.6484375,40913.6484375,118000000
2024-07-05,41009.359375,41100.12890625,40746.890625,40912.37109375,40912.37109375,114200000
2024-07-08,40863.140625,41112.23828125,40780.69921875,40780.69921875,40780.69921875,113000000
2024-07-09,40953.41015625,41769.3515625,40942.44140625,41580.171875,41580.171875,118200000
2024-07-10,41444.328125,41889.16015625,41430.37890625,41831.98828125,41831.98828125,134400000
2024-07-11,42343.71875,42426.76953125,42102.4609375,42224.01953125,42224.01953125,123000000
2024-07-12,41668.859375,41754.76171875,41188.2890625,41190.6796875,41190.6796875,130400000
2024-07-16,41366.7890625,41520.0703125,41220.6484375,41275.078125,41275.078125,100800000
2024-07-17,41416.1796875,41466.44921875,41054.71875,41097.69140625,41097.69140625,109900000
2024-07-18,40521.7109375,40587.62890625,40104.21875,40126.3515625,40126.3515625,117600000
2024-07-19,39965.91015625,40212.8984375,39824.578125,40063.7890625,40063.7890625,99800000
2024-07-22,39947.94921875,39973.19921875,39519.390625,39599.0,39599.0,82700000
2024-07-23,39864.08984375,39927.890625,39519.91015625,39594.390625,39594.390625,88300000
2024-07-24,39336.73828125,39643.26953125,39096.5,39154.8515625,39154.8515625,110300000
2024-07-25,38524.19921875,38557.7890625,37825.578125,37869.51171875,37869.51171875,143000000
2024-07-26,37792.87109375,38105.9609375,37611.19140625,37667.41015625,37667.41015625,124000000
2024-07-29,38139.12109375,38719.69921875,38010.01171875,38468.62890625,38468.62890625,107300000
2024-07-30,38241.3515625,38531.16015625,38076.69921875,38525.94921875,38525.94921875,109700000
2024-07-31,38140.76953125,39188.37109375,37954.37890625,39101.8203125,39101.8203125,146400000
2024-08-01,38781.55859375,38781.55859375,37737.87890625,38126.328125,38126.328125,178800000
2024-08-02,37444.171875,37471.51953125,35880.1484375,35909.69921875,35909.69921875,204300000
2024-08-05,35249.359375,35301.1796875,31156.119140625,31458.419921875,31458.419921875,285600000
2024-08-06,32077.330078125,34911.80078125,32077.330078125,34675.4609375,34675.4609375,251200000
2024-08-07,34122.3515625,35849.76953125,33739.4609375,35089.62109375,35089.62109375,242800000
2024-08-08,34645.7890625,35379.6484375,34207.16015625,34831.1484375,34831.1484375,165300000
2024-08-09,35272.33984375,35671.30859375,34445.5703125,35025.0,35025.0,176900000
2024-08-13,35490.578125,36232.51171875,35476.7890625,36232.51171875,36232.51171875,140700000
2024-08-14,36535.6015625,36683.890625,36074.7109375,36442.4296875,36442.4296875,135600000
2024-08-15,36381.3984375,36885.16015625,36381.3984375,36726.640625,36726.640625,119700000
2024-08-16,37304.9296875,38143.55078125,37304.9296875,38062.671875,38062.671875,129500000
2024-08-19,37863.76171875,38125.26953125,37318.0390625,37388.62109375,37388.62109375,107800000
2024-08-20,37847.8515625,38236.390625,37738.30078125,38062.921875,38062.921875,110600000
2024-08-21,37653.33984375,38026.01953125,37605.828125,37951.80078125,37951.80078125,94800000
2024-08-22,38033.78125,38408.19140625,37883.859375,38211.01171875,38211.01171875,92800000
2024-08-23,38278.1796875,38424.26953125,38053.46875,38364.26953125,38364.26953125,89800000
2024-08-26,38156.41015625,38204.80859375,37825.30859375,38110.21875,38110.21875,91700000
2024-08-27,38066.30859375,38365.640625,37911.3203125,38288.62109375,38288.62109375,84300000
2024-08-28,38221.37890625,38399.91015625,38141.48828125,38371.76171875,38371.76171875,88700000
2024-08-29,38119.94921875,38401.1484375,37970.19921875,38362.53125,38362.53125,106500000
2024-08-30,38388.0390625,38669.7890625,38316.87109375,38647.75,38647.75,136600000
2024-09-02,39025.30859375,39080.640625,38476.51171875,38700.87109375,38700.87109375,87100000
2024-09-03,38745.76171875,38967.55859375,38581.55078125,38686.30859375,38686.30859375,91200000
2024-09-04,38039.91015625,38080.01953125,36879.328125,37047.609375,37047.609375,144400000
2024-09-05,36536.25,37099.9609375,36359.23046875,36657.08984375,36657.08984375,111300000
2024-09-06,36815.0,36898.28125,36235.609375,36391.46875,36391.46875,111700000
2024-09-09,35805.8203125,36248.12109375,35247.87109375,36215.75,36215.75,118200000
2024-09-10,36386.12109375,36537.03125,36001.578125,36159.16015625,36159.16015625,112300000
